STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
 101	 Berocca performance orange Hộp 1 túyp x 10 viên sủi Bayer                                                                      	 Hộp 1 túyp x 10 viên sủi                                                                                            	 Thuốc kê đơn       	 Vitamin và khoáng chất              	 899100177223
 102	 Canesten 6-Days-Therapy 100mg Hộp 1 vỉ x 6 viên đặt âm đạo BAYER                                                               	 Hộp 1 vỉ x 6 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400100422923
 103	 Clarityne 10mg Hộp 10 viên nén                                                                                                 	 Hộp 10 viên nén                                                                                                     	 Thuốc không kê đơn 	 Dị ứng và miễn dịch                 	 899100766524
 104	 Bepanthen Itch Relief Cream tube 20g                                                                                           	 tube 20g                                                                                                            	 Mỹ phẩm            	 Chăm sóc mẹ và bé                   	 220001681/PCBB-BYT
 105	 Bepanthen Balm Hộp 1 tuýp 30g Bayer                                                                                            	 1 tuýp 30g                                                                                                          	 Mỹ phẩm            	 Chăm sóc mẹ và bé                   	 168423/22/CBMP-QLD
 106	 Ciprobay 500 Hộp 1 vỉ x 10 viên Bayer                                                                                          	 Hộp 1 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 800115179523
 107	 Clarytine 10mg Hộp 1 vỉ x 10 viên nén Bayer                                                                                    	 Hộp 1 vỉ x 10 viên nén                                                                                              	 Thuốc không kê đơn 	 Dị ứng và miễn dịch                 	 899100766524
 108	 Ciprobay 500mg Hộp 1 vỉ x 10 viên nén bao phim Bayer                                                                           	 Hộp 1 vỉ x 10 viên nén bao phim                                                                                     	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 800115179523
 109	 Ciprobay 500 Hộp 1 vỉ x 10 viên nén bao phim Bayer                                                                             	 Hộp 1 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 800115179523
 110	 Yasmin hộp 1 vỉ x 21 viên nén bao phim Bayer                                                                                   	 Hộp 1 vỉ 21 viên nén bao phim                                                                                       	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400110401023
 111	 Clarityne 10mg Hộp 1 vỉ x 10 viên nén Bayer                                                                                    	 Hộp 1 vỉ x 10 viên                                                                                                  	 Thuốc không kê đơn 	 Dị ứng và miễn dịch                 	 899100766524
 112	 Liver Care 1300 Hộp 3 vỉ x 10 viên CKPharma                                                                                    	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 3090/2021/ĐKSP
 113	 Tẩy tế bào chết môi Lip Scrub almond creme hũ 10,5g                                                                            	 Hũ                                                                                                                  	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
 114	 Tẩy trang Loreal Micellar Water 3in1 400ml                                                                                     	 chai 400ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 187045/22/CBMP-QLD
 115	 Nước tẩy trang L'Oréal Micellar Water Refreshing cho da hỗn hợp và da dầu Chai 400ml                                           	 Chai x 400ml                                                                                                        	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 187045/22/CBMP-QLD
 116	 Sữa rửa mặt Cerave SA smoothing cleanser dành cho da nhạy cảm chai 236ml                                                       	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 169187/22/CBMP/QLD
 117	 Sữa rửa mặt Cerave foaming cleanser dành cho da dầu chai 236ml                                                                 	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 169170/22/CBMP-QLD
 118	 Sữa rửa mặt Cerave Blemish Control Cleanser Chai 236ml dành cho da dầu, mụn BEAUTYCOS                                          	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
 119	 Sữa rửa mặt Cerave Sa Smoothing Cleanser Chai 236ml cho da nhạy cảm BEAUTYCOS                                                  	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 169187/22/CBMP/QLD
 120	 Sữa rửa mặt Cerave Hydrating Cleanser Chai 236ml cho da thường và khô BEAUTYCOS                                                	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 175230/22/CBMP-QLD
 121	 Sữa rửa mặt Cerave Foaming Cleanser Chai 236ml dành cho da dầu BEAUTYCOS                                                       	 Chai 236ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 169170/22/CBMP-QLD
 122	 Kem dưỡng ẩm da Nivea Creme Hộp 30ml Beiersdorf AG                                                                             	 Hộp 30ml                                                                                                            	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 234813/24/CBMP-QLD
 123	 Son dưỡng môi Nivea Strawberry Thỏi 4,8g Beiersdorf AG                                                                         	 Thỏi                                                                                                                	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 208213/23/CBMP-QLD
 124	 Sữa rửa mặt lô hội cao cấp - Benew Aloe Hộp 1 tuýp 100g                                                                        	 Hộp 1 tuýp 100g                                                                                                     	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
 125	 Sữa rửa mặt than hoạt tính cao cấp - Benew Charcoal Hộp 1 tuýp 100g                                                            	 Hộp 1 tuýp 100ml                                                                                                    	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 213900/23/CBMP-QLD
 126	 Sữa rửa mặt gạo cao cấp - Benew Brown Rice Hộp 1 tuýp 100g                                                                     	 Hộp 1 tuýp 100ml                                                                                                    	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 21487/23/CBMP-QLD
 127	 Lăn khử mùi Babaria-Đeoorant Men Chai 50ml Đông Á                                                                              	 Chai 50ml                                                                                                           	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
 128	 Kem chân Babaria Hộp 1 tuýp x 50ml Đông Á                                                                                      	 Hộp 1 tuýp x 50ml                                                                                                   	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
 129	 Nebilet 5mg Hộp 1 vi x 14 viên Menarini                                                                                        	 Hộp 1 vỉ x 14 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-19377-15
