STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
2644	 Bơm tiêm 3ml/cc 25G Hộp 100 cái VINAHANKOOK                                                                                    	 Hộp 100 cái                                                                                                         	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2645	 Bơm tiêm 5ml/cc 25G Hộp 100 cái VINAHANKOOK                                                                                    	 Hộp 100 cái                                                                                                         	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2646	 Bơm tiêm sử dụng 1 lần 10ml/cc Hộp 100 chiếc Vinahankook                                                                       	 Hộp 100 chiếc                                                                                                       	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2647	 Bơm tiêm sử dụng 1 lần 1ml/cc Hộp 100 chiếc Vinahankook                                                                        	 Hộp 100 chiếc                                                                                                       	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2648	 Bơm tiêm sử dụng 1 lần 20ml/cc Hộp 50chiếc Vinahankook                                                                         	 Hộp 50 Cái                                                                                                          	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2649	 Bơm tiêm sử dụng 1 lần 3ml/cc Hộp 100 chiếc Vinahankook                                                                        	 Hộp 100 chiếc                                                                                                       	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2650	 Bơm tiêm sử dụng 1 lần 50ml/cc Hộp 25 chiếc Vinahankook                                                                        	 Hộp 25 chiếc                                                                                                        	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2651	 Bơm tiêm sử dụng 1 lần 5ml/cc Hộp 100 chiếc Vinahankook                                                                        	 Hộp 100 chiếc                                                                                                       	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2652	 Kim lấy thuốc 18G Hộp 100 cái VINAHANKOOK                                                                                      	 Hộp 100 Cái                                                                                                         	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2653	 Bơm tiêm 1ml/cc 26G Hộp 100 cái VINAHANKOOK                                                                                    	 Hộp 100 cái                                                                                                         	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2654	 Bơm tiêm 10ml/cc 25G Hộp 100 cái VINAHANKOOK                                                                                   	 Hộp 100 cái                                                                                                         	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2655	 Kim bướm 23G Vinahankook hộp 50 cái                                                                                            	 Hộp 50 Cây                                                                                                          	 Trang Thiết Bị Y Tế	 Tiêm truyền                         	 
2656	 Vitamin B1 2500mcg Lọ 2000 viên nén Vinaphar                                                                                   	 Lọ                                                                                                                  	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 20969/2016/ATTP-XNCB
2657	 Ci Baberin Hộp 10 vỉ x 10 viên nang Vinaphar                                                                                   	 Hộp 10 vỉ x 10 viên nang                                                                                            	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 1538/2020/ĐKSP
2658	 Calcium D3 - MK7 Hộp 10 vỉ x 10 viên VINAPHAR                                                                                  	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 8506/2021/ĐKS
2659	 Gel bôi An Trĩ Vương Tuýp 20g Vinh Gia                                                                                         	 Tuýp 20g                                                                                                            	 Mỹ Phẩm            	 Da liễu                             	 2507/18/CBMP-HN
2660	 Viên sủi Actiso râu ngô - rau má Tuýp 20 viên Vintechpharm                                                                     	 Tuýp 20 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2661	 Viên sủi Vita C Bumble hương Việt Quất Tuýp 20 viên Vintechpharm                                                               	 Tuýp 20 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2662	 Vita Bumble Tuýp 20 viên sủi Vintechpharma                                                                                     	 Tuýp 20 viên sủi                                                                                                    	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2663	 Siro bổ sung canxi khoáng chất Osteocare Liquid Chai 200ml Vitabiotics                                                         	 Chai 200ml                                                                                                          	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 9186/2019/ĐKSP
2664	 Vitatree Lung Detox Hộp 1 lọ 60 viên nén                                                                                       	 Hộp 1 lọ 60 viên nén                                                                                                	 Thực phẩm chức năng	 Hô hấp                              	 9809/2021/ÐKSP
2665	 Vitatree Super Propolis Spray Complex With Honey (30ml) FERNGROVE PHARMACEUTICALS                                              	 Chai 30 ml                                                                                                          	 Thực phẩm chức năng	 Hô hấp                              	 11423/2020/ÐKSP
2666	 Vitatree Super Propolis Spray Complex With Honey Hộp 1 chai 30ml                                                               	 Hộp 1 chai 30ml                                                                                                     	 Thực phẩm chức năng	 Hô hấp                              	 11423/2020/ÐKSP
2667	 Zimli Sirup Hộp 1 chai 100ml VP IndusPharm                                                                                     	 Chai 100ml                                                                                                          	 Thực phẩm chức năng	 Hô hấp                              	 3350/2023/ĐKSP
2668	 Bảo Can Gold Hộp 2 túi x 3 vỉ x 10 viên Vương Gia                                                                              	 Hộp 2 túi x 3 vỉ x 10 viên                                                                                          	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 9820/2020/ĐKSP
2669	 Vương trí khang Hộp 60 viên VG                                                                                                 	 Hộp 60 viên                                                                                                         	 Thực phẩm chức năng	 Thần kinh                           	 
2670	 Băng vệ sinh hàn quốc 14m 28cm thuốc bắc màu xanh                                                                              	 gói 14 miếng                                                                                                        	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2671	 Choncylox 500mg hộp 1 vỉ x 10 viên Windlas                                                                                     	 hộp 1 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng sinh                          	 VN-18839-15
2672	 Lăn khử mùi Enchanteur hương nước hoa chai 50ml Wipro                                                                          	 Chai 50ml                                                                                                           	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2673	 Aphaxan Hộp 5 vỉ x 20 viên nén Armephaco                                                                                       	 Hộp 5 vỉ x 20 viên                                                                                                  	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100411024
2674	 Que nặn mụn                                                                                                                    	 Túi x 12 que                                                                                                        	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2675	 Orezol Sports Hương cam Hộp 5g x 20 gói Yalla                                                                                  	 Hộp 5g x 20 gói                                                                                                     	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2676	 Viên đặt hỗ trợ phụ hoa Pro Gyne Hộp 7 viên Yalla                                                                              	 Hộp 7 viên                                                                                                          	 Thực phẩm chức năng	 Tiết niệu sinh dục                  	 
2677	 Chỉ nha khoa Oral-B Essential Floss Hộp x 6 cuộn                                                                               	 Hộp x 6 cuộn                                                                                                        	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 01:2009/PG
2678	 chỉ nha khoa Oral-B hộp 6 cuộn x 50m P&G                                                                                       	 hộp 6 cuộn x 50m                                                                                                    	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 01:2009/PG
2679	 Kem đánh răng Ychie trẻ em hương cam Tuýp 75g Vũ Minh                                                                          	 Tuýp 75g                                                                                                            	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 165322/22/CBMP-QLD
2680	 Kem đánh răng Ychie trẻ em hương chuối Tuýp 75g Vũ Minh                                                                        	 Tuýp 75g                                                                                                            	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 165323/22/CBMP-QLD
2681	 Băng vệ sinh YEJIMIIN-Hương thảo dược dịu nhẹ Plus silk mild cỡ S (23cm/16 miếng)                                              	 Gói x 16 miếng                                                                                                      	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2682	 Băng vệ sinh YEJIMIIN-Hương thảo dược dịu nhẹ Plus silk mild cỡ L (28cm/14 miếng)                                              	 Gói x 14 miếng                                                                                                      	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2683	 Băng vệ sinh YEJIMIIN-Hương thảo dược dịu nhẹ Plus silk mild cỡ M (25cm/16 miếng)                                              	 Gói x 16 miếng                                                                                                      	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2684	 Băng vệ sinh hằng ngày YEJIMIIN-Hương thảo dược dịu êm cỡ M (15cm/20 miếng)                                                    	 Gói 15cm/20 miếng                                                                                                   	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2685	 Băng vệ sinh YEJIMIIN-Hương thảo dịu nhẹ Plus cotton mild cỡ M (25cm/16 miếng)                                                 	 Gói 25cm/16 miếng                                                                                                   	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2686	 Băng vệ sinh YEJIMIIN-Hương thảo dịu nhẹ Plus cotton mild cỡ S (23cm/16 miếng)                                                 	 Gói 23cm/16 miếng                                                                                                   	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2687	 Tổ yến thật chưng tứ vị DapYen Hộp 6 hũ x 70ml                                                                                 	 Hộp 6 hũ x 70ml                                                                                                     	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2688	 Tổ yến thật chưng nấm linh chi DapYen Hộp 6 hũ x 70ml                                                                          	 Hộp 6 hũ x 70ml                                                                                                     	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2689	 Tổ yến thật chưng nhân sâm mật ong DapYen Hộp 6 hũ x 70ml                                                                      	 Hộp 6 hũ x 70ml                                                                                                     	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2690	 Tổ yến thật chưng đường ăn kiêng Isomalt DapYen Hộp 6 hũ x 70ml                                                                	 Hộp 6 hũ x 70ml                                                                                                     	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2691	 Tổ yến thật chưng mật ong DapYen Hộp 6 hũ x 70ml                                                                               	 Hộp 6 hũ x 70ml                                                                                                     	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2692	 Dầu gội nhuộm tóc Caoten Gội là đen Hộp 10 gói x 30ml                                                                          	 Hộp 10 gói x 30ml                                                                                                   	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2693	 Bao cao su Yolo AT Hộp 144 cái                                                                                                 	 Hộp 144 cái                                                                                                         	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2694	 Prorid 5mg Hộp 10 vỉ x 10 viên Yoo Young                                                                                       	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Tiết niệu sinh dục                  	 880110343925
2695	 Gạc vô trùng Plaid Wound Dressing 6x10cm Hộp 50 miếng Young Chemical                                                           	 Hộp 50 Miếng                                                                                                        	 Trang Thiết Bị Y Tế	 Chăm sóc vết thương                 	 190000018/PCBA-LA
2696	 Yumangel Hộp 20 gói x 15ml Yuhan                                                                                               	 Hộp 20 Gói                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 880100021724
2697	 Hỗn dịch uống Yumangel 1g Hộp 20 gói x 15ml Yuhan                                                                              	 Hộp 20 Gói                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 880100021724
2698	 Hỗn dịch uống Yumangel F 1.5g Hộp 20 gói x 15ml Yuhan                                                                          	 Hộp 20 gói                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 880100405823
2699	 Yumangel 1g Hộp 20 gói x 15ml Yuhan                                                                                            	 Hộp 20 gói                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 880100021724
2700	 Tăm bông thân trúc Yumy gói 100 que                                                                                            	 Gói 100 Que                                                                                                         	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2701	 Tăm chỉ nha khoa Yumy Gói 80 cái                                                                                               	 Gói 80 cái                                                                                                          	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2702	 An Cung Ngưu Hoàng Hoàn Hộp 1 viên hoàn Yunnan                                                                                 	 Hộp 1 viên                                                                                                          	 Thuốc không kê đơn 	 Thần kinh                           	 
2703	 Băng dính vết thương vô trùng BBGO Hộp 100pcs 19mm x 72mm ZHEJIANG                                                             	 Hộp 100pcs                                                                                                          	 Trang thiết bị y tế	 Chăm sóc cá nhân                    	 
2704	 Miếng dán vết thương Ego trong suốt Hộp 50 miếng 19mm x 72mm Nova care                                                         	 Hộp 30 miếng                                                                                                        	 Trang thiết bị y tế	 Chăm sóc cá nhân                    	 
2705	 Miếng dán vết thương EGO 36mm x 72mm Hộp 30 miếng Novacare                                                                     	 Hộp 30 miếng                                                                                                        	 Trang thiết bị y tế	 Chăm sóc cá nhân                    	 
2706	 Băng cá nhân Gomix delap tím Hộp 100 miếng 19x72mm trong suốt, không thấm nước                                                 	 Hộp 100 miếng 19x72mm                                                                                               	 Trang thiết bị y tế	 Chăm sóc cá nhân                    	 
2707	 Miếng dán giảm ho Hộp 6 miếng                                                                                                  	 Hộp 6 miếng                                                                                                         	 Hàng tiêu dùng     	 Hô hấp                              	 
2708	 Miếng dán mụn cóc Samagwi hộp 6 miếng                                                                                          	 Hộp 6 miếng                                                                                                         	 Trang thiết bị y tế	 Da liễu                             	 
2709	 Miếng dán gỉam ho Hộp 6 miếng Zhejiang Huikang                                                                                 	 Hộp 6 miếng                                                                                                         	 Hàng tiêu dùng     	 Hô hấp                              	 
2710	 Gạc tiệt trùng Urgosterile 10x20cm Hộp 20 miếng                                                                                	 Hộp 20 Miếng                                                                                                        	 Trang thiết bị y tế	 Chăm sóc cá nhân                    	 
2711	 Dung dịch vệ sinh Intimate Hoa lan chuông Chai 200ml Ziaja                                                                     	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 122046 \20 \CBMP \QLD
2712	 Dung dịch vệ sinh phụ nữ Intimate wash gel bồ công anh Chai 200ml Ziaja                                                        	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
2713	 Dung dịch vệ sinh phụ nữ Intimate wash gel cúc la mã Chai 200ml Ziaja                                                          	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 68299/18/CBMP-QLD
2714	 Dung dịch vệ sinh phụ nữ Intimate wash gel vỏ sồi Chai 200ml Ziaja                                                             	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 129618/20/CBMP-QLD
2715	 Nhũ tương dưỡng ẩm Ziaja 1% urê Chai x 400ml Baniphar                                                                          	 Chai x 400ml                                                                                                        	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 169752/22/CBMP-QLD
2716	 Dung dịch vệ sinh phụ nữ Intimate wash gel Hoa Lan Chuông Chai 200ml Ziaja                                                     	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 122046 \20 \CBMP \QLD
2717	 Thuốc HCQ 200mg hộp 10 vỉ x 10 viên Zydus                                                                                      	 hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Cơ Xương Khớp                       	 VN-21979-19
2718	 Bột gừng hòa tan KYSOGI Hộp 30 gói x 5g Đông Á                                                                                 	 Hộp 30 gói x 5g                                                                                                     	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 02/DAP-KYSOGI/2024
2719	 Bàn chải đánh răng Ion Hera người lớn                                                                                          	 Hộp 1 cái                                                                                                           	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2720	 Bao cao su Goldentime 0.03 Deluxe condom super thin & longer Hộp 12 cái                                                        	 Hộp 12 cái                                                                                                          	 Trang thiết bị y tế	 Tiết niệu sinh dục                  	 
2721	 Băng cá nhân Urgo Washproor Large 3.8x7.2cm ít thấm nước Hộp 30 miếng                                                          	 Hộp 30 miếng                                                                                                        	 Trang thiết bị y tế	 Gia dụng                            	 
2722	 Băng cá nhân Zilgo 1.9 x 7.2 cm Hộp 102 miếng                                                                                  	 Hộp 102 miếng                                                                                                       	 Trang thiết bị y tế	 Gia dụng                            	 
2723	 Bọc tóc con sâu - Bouffant cap Bịch 100 chiếc                                                                                  	 Bịch 100 chiếc                                                                                                      	 Trang thiết bị y tế	 Gia dụng                            	 
2724	 Bột nhuận tràng Buona Peginpol Hộp 20 Gói x 5g                                                                                 	 Hộp 20 Gói x 5g                                                                                                     	 Trang Thiết Bị Y Tế	 Tiêu hóa Gan Mật                    	 220000006/PCBB-HN
2725	 Bột sủi thanh nhiệt Sensa Cools Fizz Hộp 6 gói x 7,15g PT SARI ENESIS INDAH                                                    	 Hộp 6 gói x 7,15g                                                                                                   	 Thực phẩm chức năng	 Giảm đau Hạ sốt                     	 
2726	 Bù điện giải Green-sea hương chanh Hộp 20 gói x 8gam Vũ Trần                                                                   	 Hộp 20 gói                                                                                                          	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2727	 Calcinano Davico Hộp 1 lọ 30 viên                                                                                              	 Hộp 1 lọ 30 viên                                                                                                    	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2728	 Chỉ nha khoa Oral-B Cuộn 50m P&G                                                                                               	 Hộp 6 cuộn                                                                                                          	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2729	 Ciproxacin 500mg Chai 100 viên nén Leno                                                                                        	 Lọ 100 viên                                                                                                         	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-20303-13
2730	 Coenzym Q10 Green Hộp 1 lọ x 30 viên PULIPHA                                                                                   	 Hộp 1 lọ 30 viên                                                                                                    	 Thực phẩm chức năng	 Tim mạch Huyết áp                   	 
2731	 Coi Mex Hộp 1 lọ 30 viên Lustrel T&T Global-EU                                                                                 	 Hộp 1 lọ 30 viên                                                                                                    	 Thực phẩm chức năng	 Cơ Xương Khớp                       	 
2732	 Collagen + GC Hộp 1 lọ 60 viên CKC Health                                                                                      	 Hộp 1 lọ 60 viên                                                                                                    	 Thực phẩm chức năng	 Chăm sóc sắc đẹp                    	 
2733	 Collagen type II-MSM Glushak 1500plus Hộp 1 lọ 60 viên GreenHealth                                                             	 Hộp 1 lọ 60 viên                                                                                                    	 Thực phẩm chức năng	 Cơ Xương Khớp                       	 
2734	 Cologrin Sweetener Tablet Lọ 1200 viên Rồng Việt                                                                               	 Lọ 1200 viên                                                                                                        	 Hàng tiêu dùng     	 Đái tháo đường                      	 
2735	 Cốm bổ doremon Lọ 40g AUVINA                                                                                                   	 Lọ 40gam                                                                                                            	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2736	 Cồn 70 Chai 500ml Elaphe                                                                                                       	 Chai 500ml                                                                                                          	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2737	 Cồn 90 Chai 500ml Elaphe                                                                                                       	 Chai 500ml                                                                                                          	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2738	 Dầu dừa coco beauty hộp 1 hũ 30ml Bến Tre                                                                                      	 Hộp 1 hũ 30ml                                                                                                       	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 
2739	 Dầu dưỡng ẩm mát xa Gohnson's Baby Oil chai 200ml                                                                              	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc mẹ và bé                   	 
2740	 Dầu gội chống gàu Hairnew Hộp 50 gói x 5ml Hoàng Tuấn                                                                          	 Hộp 50 gói x 5ml                                                                                                    	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 
2741	 Dầu gội phủ bạc thảo dược Shampoo Herbal Hộp 1 chai 300ml Ecophar                                                              	 Hộp 1 chai 300ml                                                                                                    	 Trang thiết bị y tế	 Chăm sóc sắc đẹp                    	 
2742	 Dermatix Ultra Hộp 1 túyp x 7g Hanson                                                                                          	 Hộp 1 túyp x 7g                                                                                                     	 Trang thiết bị y tế	 Da liễu                             	 180000282/PCBA-HN
2743	 Dung dịch dưỡng mắt Nhật ( vàng) Hộp 1 chai 12ml                                                                               	 Hộp 1 chai 12ml                                                                                                     	 Mỹ phẩm            	 Mắt                                 	 
2744	 Đại tràng 5 day Ba Nhất Hộp 3 vỉ x 10 viên G&P France                                                                          	 3 vỉ x 10 viên                                                                                                      	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 
2745	 Fran Apple baby Hộp 20 ống x 10ml Fran HT                                                                                      	 hộp 20 ống                                                                                                          	 Thực phẩm chức năng	 Chăm sóc mẹ và bé                   	 
2746	 Gạc đắp vết thương 6cm x 15cm An Lành                                                                                          	                                                                                                                     	 Trang thiết bị y tế	 Gia dụng                            	 
2747	 Gạc tiệt trùng Urgosterile 10x20cm Hộp 20 miếng Zhende Medical                                                                 	 Hộp 20 miếng                                                                                                        	 Trang thiết bị y tế	 Gia dụng                            	 
2748	 Hoàng Liên ĐY lọ 80 viên nén Đại y                                                                                             	 Lọ 80 viên                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 
2749	 Hoạt huyết thông mạch Plas NeuroHoạt huyết thông mạch Plas Neuro Hộp 6 vỉ x 10 viên Nelly Nelly                                	 Hộp 6 vỉ x 10 viên                                                                                                  	 Thực phẩm chức năng	 Tim mạch Huyết áp                   	 865/2024/ĐKSP
2750	 Hộp đựng thuốc HPG41 4 ngăn Hofaco                                                                                             	 Khay 4 ngăn                                                                                                         	 Hàng tiêu dùng     	 Gia dụng                            	 
2751	 ht Gelcumin Hộp 1 tuýp 25g Phuongdong Pharma                                                                                   	 Hộp 1 tuýp 25g                                                                                                      	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 
2752	 Huyết giác Curmin Hôp 3 vỉ x 10 viên Healthbox                                                                                 	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thực phẩm chức năng	 Cơ Xương Khớp                       	 
2753	 Ích Phế Hầu Hộp 1 chai 100ml Takarai                                                                                           	 Hộp 1 chai 100ml                                                                                                    	 Thuốc không kê đơn 	 Hô hấp                              	 VD-25108-16
2754	 Ion Sports Drink Plus hương cam Hộp 30 gói x 4gam Legend Global                                                                	 Hộp 30 gói x 4g                                                                                                     	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2755	 Ion Sports Drink Plus hương chanh leo Hộp 30 gói x 4gam Legend Global                                                          	 Hộp 30 gói x 4g                                                                                                     	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 23/2020/ĐKSP
2756	 Kem bôi Bebe Skin Hộp 1 tuýp 20g N-Biotech                                                                                     	 Hộp 1 tuýp 20g                                                                                                      	 Mỹ phẩm            	 Chăm sóc mẹ và bé                   	 
2757	 Kem bôi da Bongmakeup Clearseo DC Hộp 1 tuýp 10g IN DI CO                                                                      	 Hộp 1 tuýp 10g                                                                                                      	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 
2758	 Kem bôi da Thuần Mộc Hộp 1 tuýp 16g Hòa Bình Pharma                                                                            	 Hộp 1 tuýp 16g                                                                                                      	 Mỹ phẩm            	 Da liễu                             	 94/23/CBMP-HB
2759	 Kem dưỡng ẩm Primer Collagen Hộp 1 lọ 30g Unifive                                                                              	 Hộp 1 lọ                                                                                                            	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 
2760	 Kem đánh răng Sensodyne Cool Gel Tuýp 100g GSK                                                                                 	 Tuýp 100g                                                                                                           	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 129404/20/CBMP-QLD
2761	 Kem đánh răng Sensodyne Fresh Mint Tuýp 100g Haleon                                                                            	 Tuýp 100g                                                                                                           	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 153918/21/CBMP-QLD
2762	 Kem đánh răng Ychie trẻ em hương dâu Tuýp 75g Vũ Minh                                                                          	 Tuýp 75g                                                                                                            	 Hàng tiêu dùng     	 Chăm sóc mẹ và bé                   	 112778/19/CBMP-QLD
2763	 Kem tẩy lông Veet Silk & Fresh Aloe Vera & Vitamin E cho da nhạy cảm Hộp 1 tuýp 50g RECKITT BENCKISER (Tuýp)                   	 Hộp 1 Tuýp 50g                                                                                                      	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 
2764	 Kem xua muỗi Soffell Hương cam 60ml                                                                                            	 Lọ 60ml                                                                                                             	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 VNDP-HC-691-08-13
2765	 Kẹo dẻo canxi, d3 Lọ 50g WIDE Land                                                                                             	 Lọ 50gam                                                                                                            	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2766	 Kẹo dẻo Gummy Hiệu Gia Linh Hộp 30g Auvina                                                                                     	 Hộp 30g                                                                                                             	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
2767	 Kẹo ngậm Koras Hotuss hương bạc hà Hộp 3 vỉ x 8 viên Hợp Nhất                                                                  	 Hộp 3 vỉ x 8 viên                                                                                                   	 Thực phẩm chức năng	 Hô hấp                              	 1949/2022/ĐKSP
2768	 Khăn ướt Lamy Gói 20 tờ Eco Wipes                                                                                              	 Bịch 10 gói                                                                                                         	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
2769	 Khẩu trang 5D Umino gói 10 chiếc Long Châu                                                                                     	 Gói 10 chiếc                                                                                                        	 Trang thiết bị y tế	 Gia dụng                            	 
2770	 Khẩu trang Umino màu ghi Hộp 50 cái Long Châu                                                                                  	 Hộp 5 gói x 10 chiếc                                                                                                	 Trang thiết bị y tế	 Gia dụng                            	 
2771	 Khẩu trang Umino màu trắng Hộp 50 cái Long Châu                                                                                	 Hộp 5 gói x 10 chiếc                                                                                                	 Trang thiết bị y tế	 Gia dụng                            	 
2772	 Khẩu trang Umino màu xanh Hộp 50 cái Long Châu                                                                                 	 Hộp 5 gói x 10 chiếc                                                                                                	 Trang thiết bị y tế	 Gia dụng                            	 
2773	 Khẩu trang y tế 3D mask Umino màu trắng Hộp 5 gói x 10 cái Long Châu                                                           	 Hộp 5 gói x 10 chiếc                                                                                                	 Trang thiết bị y tế	 Gia dụng                            	 
2774	 Khẩu trang y tế 5D Mask Hộp 100 chiếc Duy Ngọc TRẮNG                                                                           	 Hộp 100 chiếc                                                                                                       	 Trang thiết bị y tế	 Gia dụng                            	 
2775	 Khẩu trang y tế 6A Ela màu trắng Hộp 10 túi x 10 cái Elaphe                                                                    	 Hộp 10 túi x 10 chiếc                                                                                               	 Trang thiết bị y tế	 Gia dụng                            	 
2776	 Khẩu trang y tế Dimico màu đen Hộp 50 cái Minh Thủy                                                                            	 Hộp 5 gói x 10 chiếc                                                                                                	 Trang thiết bị y tế	 Gia dụng                            	 
